Score_0,Score_1
0.14533345,0.6463303
0.10751105,0.7505083
0.704697,0.04498448
0.66438186,0.057145435
0.7099373,0.043658122
0.4005272,0.21218327
0.23391595,0.4451405
0.33305857,0.28718743
0.7118653,0.043152858
0.0931635,0.79182655
0.6635107,0.05736667
0.70823634,0.044096254
0.71109945,0.043358512
0.6516781,0.06131812
0.704269,0.045142233
0.7109095,0.04340542
0.09224282,0.7944638
0.09098949,0.7979135
0.60547805,0.07913573
0.5558191,0.10218058
0.70475054,0.045027733
0.12315,0.7061666
0.71151763,0.043245647
0.67822504,0.0526734
0.109319516,0.7446402
0.71137416,0.043287672
0.25490808,0.40356994
0.6192663,0.073095106
0.70688367,0.04443931
0.67677885,0.053083017
0.08634799,0.8114385
0.70745337,0.04431158
0.27477837,0.37260914
0.6682005,0.055680394
0.18547414,0.5503419
0.7096721,0.043718982
0.12972346,0.6883886
0.08642997,0.81121594
0.6198557,0.07283482
0.6889466,0.04937532
0.0858841,0.8127606
0.09253338,0.7938943
0.09855922,0.7758883
0.7118106,0.043173768
0.699538,0.046398938
0.7106533,0.043472987
0.70660204,0.04450985
0.70196784,0.045768183
0.6996691,0.04649136
0.70567644,0.044774525
0.7096036,0.04374776
0.09318698,0.79168725
0.113459654,0.73367107
0.70418656,0.04516367
0.089755535,0.80168456
0.7048512,0.045020822
0.70038563,0.046177156
0.5329944,0.11544907
0.6602546,0.05807867
0.14240621,0.6556736
0.41302893,0.2030473
0.7116489,0.04321695
0.7073567,0.04433361
0.0924831,0.7938565
0.7103758,0.04353444
0.4020505,0.21201038
0.088499814,0.8052971
0.09630922,0.78298455
0.097700134,0.77902526
0.7066771,0.04451713
0.08811161,0.80635893
0.68088627,0.05172618
0.70894885,0.04391593
0.08982736,0.8014266
0.09287937,0.7926814
0.6027676,0.07994755
0.0891121,0.8034682
0.7026026,0.04560387
0.6616577,0.05787632
0.62953436,0.069178894
0.7111487,0.043335527
0.7036495,0.045308895
0.6851399,0.05057499
0.09215383,0.7947079
0.08666249,0.8105422
0.6677049,0.05577116
0.5896155,0.0858561
0.08674038,0.8103013
0.4208014,0.1938104
0.10179822,0.76686853
0.14865282,0.63799065
0.08638938,0.8113212
0.08674495,0.8103068
0.08619479,0.8118912
0.08895941,0.8039065
0.08667025,0.8104933
0.08919086,0.8031932
0.46560353,0.1578542
0.10659563,0.7535721
0.4512825,0.16822259
0.7015786,0.045885038
0.34291866,0.2763873
0.10243785,0.76495814
0.67336434,0.054042872
0.10097466,0.7696259
0.091410846,0.7969817
0.71147215,0.043267984
0.10612389,0.7551695
0.61168104,0.076221995
0.09050777,0.79940474
0.69883835,0.046587426
0.7098906,0.043664254
0.08628272,0.8116038
0.09597489,0.783727
0.71139646,0.043278527
0.7097867,0.043698978
0.70494694,0.04495853
0.7093534,0.043808144
0.36357972,0.25255096
0.6900558,0.04912272
0.09159405,0.7963753
0.1003757,0.77155596
0.09178216,0.7958416
0.12163094,0.7109772
0.702471,0.04558939
0.15082061,0.6319767
0.7082361,0.04409506
0.10938911,0.74610233
0.09258044,0.7935909
0.69070876,0.048892763
0.6840241,0.050895363
0.70881486,0.043952808
0.0884463,0.8053569
0.70827436,0.044083755
0.24522908,0.42441022
0.09738151,0.779902
0.7085257,0.044033285
0.7113278,0.043291967
0.7027409,0.045548785
0.5636381,0.09850104
0.5856707,0.08682889
0.13212124,0.68174994
0.7087847,0.043965552
0.10564136,0.7562979
0.6480611,0.062541254
0.69534993,0.047601532
0.70915335,0.043869834
0.09148769,0.79661524
0.21280876,0.48839054
0.086487874,0.8110212
0.09435799,0.788391
0.38732484,0.2260852
0.11283065,0.735955
0.25852293,0.39760938
0.09642817,0.7825261
0.7059909,0.044689342
0.5068262,0.13073924
0.08666673,0.8105323
0.7053604,0.044863004
0.63510156,0.067151986
0.36370552,0.25179756
0.70994616,0.043666504
0.08996082,0.8009021
0.096967936,0.780697
0.1530203,0.6269934
0.12883218,0.69049513
0.0902819,0.8000535
0.20668475,0.50205624
0.15824051,0.61363125
0.0876552,0.8076242
0.09524393,0.7858963
0.24458827,0.42536032
0.12694131,0.69691175
0.107196465,0.7512843
