Class_0,Class_1
1.0,0.0
0.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
0.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
0.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.0,1.0
0.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
0.0,1.0
1.0,0.0
1.0,0.0
0.0,1.0
1.0,0.0
0.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
0.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.0,1.0
1.0,0.0
1.0,0.0
0.0,1.0
0.0,1.0
0.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.0,1.0
0.0,1.0
1.0,0.0
0.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.0,1.0
1.0,0.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
1.0,0.0
0.0,1.0
1.0,0.0
1.0,0.0
0.0,1.0
0.0,1.0
1.0,0.0
0.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.0,1.0
0.0,1.0
1.0,0.0
1.0,0.0
0.0,1.0
0.0,1.0
1.0,0.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.0,1.0
0.0,1.0
1.0,0.0
0.0,1.0
1.0,0.0
0.0,1.0
1.0,0.0
1.0,0.0
0.0,1.0
0.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.0,1.0
1.0,0.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
1.0,0.0
0.0,1.0
1.0,0.0
0.0,1.0
0.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
0.0,1.0
1.0,0.0
0.0,1.0
0.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.0,1.0
1.0,0.0
0.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
0.0,1.0
1.0,0.0
0.0,1.0
0.0,1.0
1.0,0.0
0.0,1.0
0.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
0.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
1.0,0.0
0.0,1.0
1.0,0.0
0.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.0,1.0
0.0,1.0
0.0,1.0
1.0,0.0
0.0,1.0
1.0,0.0
1.0,0.0
0.0,1.0
1.0,0.0
0.0,1.0
0.0,1.0
1.0,0.0
0.0,1.0
0.0,1.0
1.0,0.0
0.0,1.0
1.0,0.0
0.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
0.0,1.0
0.0,1.0
0.0,1.0
1.0,0.0
0.0,1.0
1.0,0.0
0.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.0,1.0
1.0,0.0
0.0,1.0
0.0,1.0
1.0,0.0
0.0,1.0
0.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
0.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.0,1.0
1.0,0.0
1.0,0.0
