selected_index,feature_name,coefficient,abs_coefficient
3038,ESM2_107,0.4257605,0.4257605
3005,ESM2_74,-0.3236806,0.3236806
2970,ESM2_39,0.3193277,0.3193277
1189,ProtT5_50,0.31783524,0.31783524
117,BPF_117,0.30640283,0.30640283
3001,ESM2_70,-0.2905682,0.2905682
3198,ESM2_267,0.2618168,0.2618168
908,FEGS_467,-0.2543125,0.2543125
853,FEGS_412,0.23949112,0.23949112
693,FEGS_252,0.2356094,0.2356094
997,FEGS_556,-0.22662167,0.22662167
2928,BERT_765,-0.21055645,0.21055645
3180,ESM2_249,-0.20726608,0.20726608
3213,ESM2_282,0.2036595,0.2036595
605,FEGS_164,-0.19784838,0.19784838
1992,ProtT5_853,0.1957238,0.1957238
88,BPF_88,-0.1928028,0.1928028
3031,ESM2_100,-0.19263268,0.19263268
1030,Fasttext_11,-0.18809167,0.18809167
1496,ProtT5_357,-0.1854338,0.1854338
3216,ESM2_285,0.18474196,0.18474196
83,BPF_83,0.18266584,0.18266584
2994,ESM2_63,-0.1823437,0.1823437
1104,Fasttext_85,0.18163553,0.18163553
3127,ESM2_196,-0.17736888,0.17736888
828,FEGS_387,0.1751687,0.1751687
1618,ProtT5_479,0.17177911,0.17177911
4,BPF_4,0.16623053,0.16623053
1450,ProtT5_311,-0.16480689,0.16480689
2079,ProtT5_940,0.163864,0.163864
1201,ProtT5_62,-0.16175866,0.16175866
1633,ProtT5_494,-0.156016,0.156016
759,FEGS_318,0.15440556,0.15440556
2768,BERT_605,0.15332814,0.15332814
63,BPF_63,0.15233049,0.15233049
2022,ProtT5_883,0.15009286,0.15009286
2574,BERT_411,-0.1481997,0.1481997
1012,FEGS_571,-0.14757083,0.14757083
1551,ProtT5_412,-0.14583823,0.14583823
1960,ProtT5_821,-0.14579657,0.14579657
1156,ProtT5_17,-0.14424738,0.14424738
2936,ESM2_5,-0.14303856,0.14303856
2129,ProtT5_990,-0.14127548,0.14127548
2001,ProtT5_862,0.13843955,0.13843955
3153,ESM2_222,0.1383647,0.1383647
3224,ESM2_293,-0.13529293,0.13529293
1025,Fasttext_6,0.1347324,0.1347324
2954,ESM2_23,0.13345687,0.13345687
2306,BERT_143,0.13008891,0.13008891
2756,BERT_593,0.12944245,0.12944245
1014,FEGS_573,0.12943904,0.12943904
2769,BERT_606,0.12679487,0.12679487
26,BPF_26,-0.12380124,0.12380124
2153,ProtT5_1014,0.122866265,0.122866265
1956,ProtT5_817,-0.122639164,0.122639164
1996,ProtT5_857,0.12170606,0.12170606
1464,ProtT5_325,-0.11952363,0.11952363
2848,BERT_685,0.119169176,0.119169176
2945,ESM2_14,0.1188789,0.1188789
61,BPF_61,0.11740616,0.11740616
131,BPF_131,0.11733813,0.11733813
2934,ESM2_3,0.11424658,0.11424658
628,FEGS_187,-0.11414043,0.11414043
1577,ProtT5_438,-0.111736596,0.111736596
7,BPF_7,0.10949802,0.10949802
957,FEGS_516,0.10731999,0.10731999
2723,BERT_560,0.10630265,0.10630265
2830,BERT_667,-0.10299858,0.10299858
39,BPF_39,0.10208848,0.10208848
1448,ProtT5_309,0.101758935,0.101758935
1013,FEGS_572,-0.10132747,0.10132747
1599,ProtT5_460,-0.100953355,0.100953355
3227,ESM2_296,-0.100032486,0.100032486
140,BPF_140,0.099751614,0.099751614
947,FEGS_506,0.099146865,0.099146865
115,BPF_115,-0.09867805,0.09867805
1002,FEGS_561,0.097266644,0.097266644
96,BPF_96,-0.09630719,0.09630719
3097,ESM2_166,0.09510067,0.09510067
696,FEGS_255,0.09432817,0.09432817
677,FEGS_236,0.09377405,0.09377405
109,BPF_109,-0.09321737,0.09321737
3074,ESM2_143,-0.092391774,0.092391774
824,FEGS_383,0.09057462,0.09057462
2730,BERT_567,0.09049508,0.09049508
1951,ProtT5_812,0.08931013,0.08931013
1149,ProtT5_10,0.088626124,0.088626124
852,FEGS_411,0.088539734,0.088539734
14,BPF_14,-0.08726303,0.08726303
232,BPF_232,-0.08514427,0.08514427
3057,ESM2_126,0.08511487,0.08511487
54,BPF_54,0.084633194,0.084633194
75,BPF_75,-0.08257145,0.08257145
694,FEGS_253,0.0824183,0.0824183
771,FEGS_330,0.081459515,0.081459515
6,BPF_6,-0.08129304,0.08129304
1634,ProtT5_495,0.08104918,0.08104918
995,FEGS_554,0.08045256,0.08045256
1373,ProtT5_234,0.08029085,0.08029085
1392,ProtT5_253,-0.07998852,0.07998852
949,FEGS_508,-0.07998329,0.07998329
222,BPF_222,-0.079976745,0.079976745
2569,BERT_406,-0.0782038,0.0782038
3013,ESM2_82,-0.07748603,0.07748603
128,BPF_128,0.07621689,0.07621689
145,BPF_145,0.075969785,0.075969785
2302,BERT_139,-0.075961515,0.075961515
